Unnamed: 0,YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (Megawatthours)
3654,2021,2,PA,Total Electric Power Industry,Total,21054904.0
3707,2021,2,RI,Total Electric Power Industry,Total,505337.0
3732,2021,2,SC,Total Electric Power Industry,Total,8356799.0
3779,2021,2,SD,Total Electric Power Industry,Total,1406186.0
3807,2021,2,TN,Total Electric Power Industry,Total,7262652.0
3850,2021,2,TX,Total Electric Power Industry,Total,34553779.0
3975,2021,2,UT,Total Electric Power Industry,Total,3256626.0
4013,2021,2,VA,Total Electric Power Industry,Total,7817139.0
4064,2021,2,VT,Total Electric Power Industry,Total,163548.0
4093,2021,2,WA,Total Electric Power Industry,Total,9398978.0
4137,2021,2,WI,Total Electric Power Industry,Total,5605711.0
4187,2021,2,WV,Total Electric Power Industry,Total,6656971.0
4214,2021,2,WY,Total Electric Power Industry,Total,3458272.0
4242,2021,3,AK,Total Electric Power Industry,Total,455932.0
4277,2021,3,AL,Total Electric Power Industry,Total,10460787.0
4311,2021,3,AR,Total Electric Power Industry,Total,4561694.0
4351,2021,3,AZ,Total Electric Power Industry,Total,7981800.0
4387,2021,3,CA,Total Electric Power Industry,Total,14286088.0
4450,2021,3,CO,Total Electric Power Industry,Total,4669512.0
4497,2021,3,CT,Total Electric Power Industry,Total,3738943.0
4538,2021,3,DC,Total Electric Power Industry,Total,18290.0
4549,2021,3,DE,Total Electric Power Industry,Total,226092.0
4578,2021,3,FL,Total Electric Power Industry,Total,18383911.0
4624,2021,3,GA,Total Electric Power Industry,Total,8636468.0
4670,2021,3,HI,Total Electric Power Industry,Total,736485.0
4710,2021,3,IA,Total Electric Power Industry,Total,5389102.0
4753,2021,3,ID,Total Electric Power Industry,Total,1404034.0
4791,2021,3,IL,Total Electric Power Industry,Total,13382765.0
4841,2021,3,IN,Total Electric Power Industry,Total,6942999.0
4887,2021,3,KS,Total Electric Power Industry,Total,4965709.0
4914,2021,3,KY,Total Electric Power Industry,Total,5131243.0
4940,2021,3,LA,Total Electric Power Industry,Total,6717683.0
4977,2021,3,MA,Total Electric Power Industry,Total,1349996.0
5023,2021,3,MD,Total Electric Power Industry,Total,2805982.0
5065,2021,3,ME,Total Electric Power Industry,Total,976106.0
5107,2021,3,MI,Total Electric Power Industry,Total,9505376.0
5165,2021,3,MN,Total Electric Power Industry,Total,4442237.0
5215,2021,3,MO,Total Electric Power Industry,Total,5385210.0
5260,2021,3,MS,Total Electric Power Industry,Total,4584314.0
5288,2021,3,MT,Total Electric Power Industry,Total,2153830.0
5323,2021,3,NC,Total Electric Power Industry,Total,9661793.0
5375,2021,3,ND,Total Electric Power Industry,Total,3699351.0
5402,2021,3,NE,Total Electric Power Industry,Total,2581582.0
5435,2021,3,NH,Total Electric Power Industry,Total,1367643.0
5470,2021,3,NJ,Total Electric Power Industry,Total,4513833.0
5516,2021,3,NM,Total Electric Power Industry,Total,2667023.0
5550,2021,3,NV,Total Electric Power Industry,Total,3046214.0
5588,2021,3,NY,Total Electric Power Industry,Total,9977465.0
5643,2021,3,OH,Total Electric Power Industry,Total,10088727.0
5697,2021,3,OK,Total Electric Power Industry,Total,6351376.0
5734,2021,3,OR,Total Electric Power Industry,Total,5382854.0
5775,2021,3,PA,Total Electric Power Industry,Total,19311763.0
5828,2021,3,RI,Total Electric Power Industry,Total,601653.0
5853,2021,3,SC,Total Electric Power Industry,Total,7791199.0
5900,2021,3,SD,Total Electric Power Industry,Total,1494803.0
5928,2021,3,TN,Total Electric Power Industry,Total,6890246.0
5971,2021,3,TX,Total Electric Power Industry,Total,33939509.0
6096,2021,3,UT,Total Electric Power Industry,Total,3140412.0
6134,2021,3,VA,Total Electric Power Industry,Total,7925981.0
6185,2021,3,VT,Total Electric Power Industry,Total,228195.0
6214,2021,3,WA,Total Electric Power Industry,Total,8795660.0
6258,2021,3,WI,Total Electric Power Industry,Total,5384496.0
6308,2021,3,WV,Total Electric Power Industry,Total,4533808.0
6335,2021,3,WY,Total Electric Power Industry,Total,3616446.0
6363,2021,4,AK,Total Electric Power Industry,Total,418125.0
6398,2021,4,AL,Total Electric Power Industry,Total,9070791.0
6432,2021,4,AR,Total Electric Power Industry,Total,3792933.0
6472,2021,4,AZ,Total Electric Power Industry,Total,8044688.0
