Date,AAPL_moving_avg,GOOGL_moving_avg,META_moving_avg,AMZN_moving_avg
09/15/2022,153.04857142857142,101.1542857142857,145.04285714285714,120.9057142857143
09/14/2022,153.76285714285714,102.04857142857142,146.62285714285716,123.02714285714286
09/13/2022,153.92000000000002,102.64571428571428,148.0957142857143,124.38571428571427
09/12/2022,155.30714285714288,104.3,151.93,126.94428571428571
09/09/2022,155.3742857142857,105.65857142857143,155.22428571428574,128.52714285714285
09/08/2022,155.37000000000003,106.41714285714285,157.23,129.2642857142857
09/07/2022,156.12142857142857,107.36714285714287,159.24428571428572,130.10714285714286
09/06/2022,156.43,107.92428571428572,160.52857142857144,130.08285714285714
09/02/2022,156.48428571428573,108.33142857142857,161.79285714285714,129.92285714285714
09/01/2022,157.07285714285715,109.10571428571428,163.54,130.06571428571428
08/31/2022,156.18571428571428,108.72857142857143,162.67857142857142,128.68285714285713
08/30/2022,156.4057142857143,108.48428571428572,160.96571428571428,128.03428571428572
08/29/2022,157.3957142857143,108.63285714285715,160.55285714285714,128.03
08/26/2022,158.49,108.75999999999999,160.75142857142856,128.21142857142857
08/25/2022,160.70428571428573,110.1657142857143,162.21428571428572,129.80714285714285
08/24/2022,162.37857142857143,111.0,162.6342857142857,130.7057142857143
08/23/2022,163.70285714285714,111.58857142857143,162.02714285714288,131.53428571428572
08/22/2022,165.18142857142857,112.44857142857143,162.0442857142857,132.45571428571427
08/19/2022,166.98285714285717,113.63,163.58714285714288,133.81285714285715
08/18/2022,168.80714285714288,115.1657142857143,165.79999999999998,135.6
08/17/2022,170.3685714285714,116.48142857142857,167.66714285714286,137.22142857142856
08/16/2022,170.7971428571429,117.20285714285716,169.19428571428574,138.29285714285714
08/15/2022,171.6057142857143,118.40142857142857,171.71285714285713,139.63285714285715
08/12/2022,172.3014285714286,119.51857142857143,174.48285714285717,141.05142857142854
08/11/2022,172.43285714285713,120.17571428571429,176.54571428571427,142.11142857142858
08/10/2022,172.10714285714286,120.53142857142858,178.0285714285714,142.74857142857144
08/09/2022,170.78857142857143,120.02571428571427,177.15285714285716,142.11
08/08/2022,169.40571428571428,119.70428571428572,176.49571428571426,141.7257142857143
08/05/2022,168.30857142857144,119.1,174.73000000000002,141.15714285714284
08/04/2022,167.25428571428571,118.54428571428572,173.25571428571428,141.07
08/03/2022,166.40142857142857,118.03,171.58428571428573,140.49428571428572
08/02/2022,165.19,117.5,169.11285714285714,139.56857142857143
08/01/2022,164.08571428571426,116.80857142857143,166.48285714285717,138.5257142857143
07/29/2022,163.74142857142857,116.76428571428572,165.1357142857143,138.1142857142857
07/28/2022,162.66714285714284,116.32428571428571,163.77428571428572,135.66714285714286
07/27/2022,161.44428571428574,115.69428571428571,164.12714285714287,132.8342857142857
07/26/2022,159.41428571428568,113.81285714285714,162.49571428571429,128.8685714285714
07/25/2022,157.53142857142856,112.30285714285712,162.1885714285714,126.24285714285715
07/22/2022,156.68571428571428,111.27000000000001,163.4857142857143,124.56571428571428
07/21/2022,155.80571428571426,111.19571428571429,166.8057142857143,123.02857142857142
07/20/2022,154.45285714285714,110.85000000000001,170.23285714285717,121.28857142857143
07/19/2022,153.54571428571427,110.79142857142857,172.3842857142857,120.70714285714287
07/18/2022,152.15714285714284,110.21571428571428,172.04857142857145,119.67714285714285
07/15/2022,151.9528571428571,111.18142857142858,172.84142857142857,119.49714285714286
07/14/2022,151.31285714285715,111.59000000000002,171.61285714285714,117.99571428571427
07/13/2022,150.0842857142857,112.08285714285714,170.7871428571429,116.27857142857144
07/12/2022,148.72857142857143,112.03714285714285,167.94428571428574,114.07714285714285
07/11/2022,147.5614285714286,112.29142857142857,165.05714285714288,112.50285714285714
07/08/2022,146.99571428571429,113.08285714285715,164.35714285714286,112.12142857142858
07/07/2022,146.89285714285714,114.47571428571429,165.06571428571428,112.48857142857142
07/06/2022,145.85714285714286,114.8742857142857,165.79,112.60000000000001
07/05/2022,144.86999999999998,115.28714285714285,167.23857142857145,113.01
07/01/2022,143.93285714285713,114.91428571428573,166.74428571428572,112.89
06/30/2022,142.62714285714287,114.19142857142857,166.4557142857143,112.46000000000001
06/29/2022,141.82142857142856,113.62285714285714,166.60714285714286,112.05571428571429
06/28/2022,140.45,112.57428571428571,165.15,110.89285714285714
06/27/2022,139.78,112.15285714285713,164.7642857142857,110.44857142857143
